ClusterID,Control Mean,Treated Mean,Fold Change,p-value
18963,81430050.29349089,46886405.462945655,0.575787504661452,0.009721953251493304
3206,2971814363.760277,1814887033.7282968,0.6107000005989256,0.01001511939991346
17607,117754658.15097676,479566957.43131316,4.072594366640223,0.01002184199430953
17242,612488499.6526238,330771492.1019824,0.5400452290770869,0.01005684981278917
2775,1556351234.6601346,2279740722.8905983,1.4647983515034977,0.01014264589863871
12482,2631968426.637351,618760857.536008,0.23509433140371966,0.010324803053050788
17359,225673574.00153527,449196437.0629268,1.9904698148657447,0.010627738816199312
10952,23791202.681503877,48886153.094479546,2.054799572300957,0.010674114402114682
12562,28266343.547725007,11766210.10548519,0.41626219130957187,0.010718412186734928
11760,35102232.986581944,62738108.70998518,1.7872968005758274,0.011276925231935197
14983,59362754.43837546,25839548.246072516,0.43528216455819246,0.011706033628955472
3977,216264161.22030938,135718425.20948243,0.62755855821726,0.012202741753005768
8554,3636109702.0580616,1965913143.1129775,0.5406638699597699,0.012248809401119111
18927,17791233.458640076,8863330.26733891,0.4981852600576466,0.012405836791780388
6785,94861138.62765573,243820104.34127298,2.5702843953655634,0.012467008570428042
9544,172720815.43211544,69028897.89752465,0.3996559287010495,0.012826140046019
604,44662955.309771135,13750830.366964703,0.30787999297387214,0.013146087172655856
14073,566869867.7891214,346788124.38315696,0.6117596719961202,0.013191564856530894
7839,14671964.469135992,27612241.930996574,1.8819730642806425,0.013633206760007224
48,12736998.678983293,32149055.1152336,2.5240683402347526,0.014040125091850817
10051,1780556242.5545628,343742195.591879,0.1930532646914384,0.014127719485069587
1915,12743019.354145443,65927139.21203376,5.173588564831532,0.014229559163298771
2011,101427566.73560272,300986011.5733189,2.9674971140529975,0.014445176864269426
18402,373510856.08959347,217872129.9385875,0.5833086947446765,0.014471079766861336
3549,49050337.06222579,20000388.03581181,0.40775230576782995,0.014732441385898788
868,6131096.929666999,14511180.616013434,2.366816376005588,0.015184481513321194
17975,756690667.6682428,1491380514.4481664,1.970924947500522,0.015199737894295592
15302,61917921.881220855,13640236.611618083,0.22029545238589546,0.015363475547674973
4093,37980690.17899673,13241286.448196001,0.34863206502546434,0.015452817010619823
5904,46388720.343025446,308691721.4755804,6.654456497030582,0.015523107137254667
5070,220788966.73979834,545404756.566074,2.4702536753516227,0.015533446319015971
8538,272851202.94187707,116440945.22214799,0.42675620985608154,0.01570415367935453
15735,45930798.221307725,23966676.416723415,0.5217996931219246,0.015865036731708936
7048,32361253.90976664,170818579.8334142,5.278490762740843,0.015875349312492272
5818,73487000.01861839,22277865.03351174,0.3031538235043954,0.01631684887523765
15951,25110724.906178325,8940453.034374911,0.35604121616477796,0.016663999636983076
14538,40604117337.24574,24119637948.293495,0.5940195115673355,0.016957391730351535
329,11676925.057727367,4805889.907504022,0.41157152964030186,0.017002465613309464
15874,19196844.79183052,42231713.178712934,2.199929917477127,0.01758189826753377
4429,21749172.5726759,3074899.9104510904,0.14138008699761637,0.017796906694404122
9398,1035607540.3419577,616390470.0762094,0.5951969699570527,0.018328963795303764
6700,263845865.83690894,456856572.72329754,1.7315282590241317,0.018340403842051184
18914,125865637.63328364,49141349.40974806,0.390427048508061,0.018447022223479947
7067,30961982.13737251,58071075.006268784,1.8755606391289263,0.018465005913591227
9833,119460889.74903376,271008549.9258673,2.268596446043625,0.018953996450685264
821,275187889.41954684,88972573.74749793,0.3233157314268719,0.01938800835779086
6248,61907362.33455469,201079782.01445383,3.248075421591942,0.01969058265818214
8453,364372940.47083396,601634023.1347985,1.6511490187975582,0.019757202586920576
312,8679229.717753625,277156503.4909082,31.93330658410576,0.0197589971352972
163,63789196.29871747,23620700.32089308,0.370293116882678,0.019954671647885593
12751,357719785.5208765,824716861.2233361,2.3054829355397946,0.02001341815511124
15736,17115069.839647286,130243646.24674968,7.609881085325084,0.020051648447265275
10508,150880090.05097228,57973212.69671296,0.3842336830335116,0.020406622268720705
18705,3700147.2986130584,32649706.576303948,8.823893737566117,0.02084220275662229
677,31288525.844098594,48435615.55273891,1.5480312429572156,0.02103752428814305
4496,36720425.671373166,18574690.964932255,0.5058408399500901,0.02137043459294946
16616,15634739.389156763,42844848.57556245,2.7403621837967345,0.021428422218207285
8502,76046000.09871142,1280184048.986012,16.83433773405926,0.021458237274651716
4904,107888314.33101943,438466181.4684322,4.064074818363966,0.02182078999124177
3971,277302824.38507587,449255779.160148,1.62009088856697,0.022344799819112787
15596,3010259480.722988,1449830217.5698793,0.48162964915624706,0.022355402018041693
1279,256732754.63133028,180854589.1042209,0.7044468843250217,0.023100381056393948
9592,6678759.379701146,46107950.99717764,6.903670034484882,0.023599483475137174
14958,52528262.70516996,113617972.32950494,2.16298743720535,0.023643794094986126
13387,33365010.896947682,12175567.268340519,0.3649202245414034,0.023829447042818055
17006,23219285.851517275,2967360886.1443043,127.79725031682663,0.02400744577980145
10007,52397057.25773469,798184589.7101558,15.233385832795605,0.024118432586125668
9224,9520825.351203224,65506411.89021858,6.880329117888924,0.0241197356905348
10841,30314757.718681708,7537648.40032578,0.2486461699702335,0.024238704284178545
14368,151245850.32597986,254451386.19819343,1.6823693717862336,0.024316017009428145
14140,254527010.55755535,426064852.2034768,1.673947496849778,0.024639729468332813
279,78704516.80669706,40119047.35413523,0.5097426295452646,0.02484382460344046
3180,23853790.118620165,7082303.06614833,0.2969047279668951,0.02498745460320062
17946,26282974.64737112,12074130.230122464,0.4593897910003175,0.025162779582453627
4653,18664480.52643256,39394551.81585707,2.110669609050553,0.025334642725565883
7264,11600301.947737802,5765312.654011447,0.4969967747378983,0.025378601045143657
1340,52980787.04063684,24982586.447089918,0.47154049312117624,0.025637634851443446
15990,5133595.357364303,10630154.528234439,2.0707036274265653,0.025853858385585463
14460,753253783.5867219,4093876568.010312,5.4349233382098046,0.02596174516714171
18548,68363536.9128664,21153704.38750485,0.3094296366565494,0.026375499077527793
14151,9399399.18258796,82624694.97940755,8.790423023257352,0.026679222734805923
14557,1731528194.8820665,1037590808.7114725,0.599234139980113,0.026768524138531796
19034,17024514.100766815,52435603.85825452,3.080005899016685,0.026875264654281802
15851,81883523.69558933,27249476.7873389,0.33278339228098824,0.027001532561589006
16160,431362699.72171676,207940634.64111125,0.4820552049939857,0.02773548345591858
16925,102478154.86459678,55171295.197737604,0.5383712779629455,0.027787800933309355
7554,207021776.18022585,348351046.9599646,1.6826782833546092,0.027975728321183613
16563,173938499.42674085,259060195.3618671,1.4893781205176928,0.02801439029997828
16010,2418265136.8962765,1058540344.6390014,0.43772716584649835,0.028042937408042878
2730,13363030.353925318,45817913.092732266,3.4287068037133883,0.028165479302406843
10864,81456966.09832601,32399585.49260822,0.39775094807114414,0.02838425924250323
9443,24415250.729483478,63447872.730647296,2.5986983887095056,0.028567803107406208
17801,58366487.21971916,25367093.421430223,0.43461744281331244,0.028641355941417552
17112,100890532.80292624,52862896.52219312,0.5239629036894121,0.028912926069504394
10882,65504577.83476654,100086915.94705321,1.5279377297800416,0.02900664267777321
15015,10599619.59217727,3480707.556536154,0.32838042217146973,0.029069525134723797
10113,42699674.78072557,88509022.93138827,2.072826628912425,0.02980705856558725
9823,149995716.49135518,217079190.2224782,1.4472359298006308,0.030276264304299114
5935,530644341.1496026,1502889577.9972057,2.8321975030230306,0.030308928023407827
91,68840118.42613728,22162608.05630182,0.3219432006073816,0.03032501747043198
7189,57301576.29891685,207897138.72604626,3.628122508210583,0.030338818668594326
10289,475237858.6670372,336179603.49760413,0.707392303383682,0.030652843799902903
318,19104648.502425246,10379540.38408679,0.5432992071416104,0.030653205841500997
46,385548865.2754062,2050305867.5748425,5.317888475978948,0.030810833921981418
18065,25912783.493820388,2343139488.1648397,90.42407538825867,0.031177994085476488
19674,46590941.42669688,2342586188.588844,50.27986378585019,0.03127540759247105
3852,4963358.751998724,135489653.08952728,27.29797700699474,0.031299891347648316
15025,59504461.58439203,34385593.13759655,0.5778657973205804,0.031791253217308885
14526,36959106.798903786,75227712.24963143,2.0354310145791374,0.03189560624097935
10960,24803161.13541363,5908717.892617313,0.2382243884301071,0.03201915898655157
6517,808145736.8782973,680692465.2876323,0.8422892483687521,0.03206507145000771
8159,2003621.3258337139,775144.8789158067,0.38687194477392883,0.03248454149101181
18310,27491185.347850103,97471174.57777642,3.545542811066856,0.03249326005542167
10393,59815503.748556666,27633702.510825746,0.4619822751470607,0.032950191355214375
4481,514105918.2798579,194876216.07970524,0.37905849582852447,0.033363312225825205
8493,18366069.48164826,7898324.261295417,0.43004978660173204,0.03368047393554035
10106,14661471.23494093,83762009.13628206,5.713069840948982,0.03368504272366422
1561,54376677.839940935,169153474.2628926,3.110772503623703,0.0342285018755013
8771,69419064.93033515,160586898.19124633,2.313296762962765,0.03448410997415246
10097,42744539.0848424,17006932.809826754,0.39787381438527586,0.03451114480545864
15056,118774759.73548749,79821971.51667827,0.6720448998965989,0.034778022730753824
19195,13948100.395870533,3374536.9003916755,0.24193523165281625,0.03486899574564921
4360,5497170.506100993,42237185.726499006,7.683441086577611,0.03506086492741011
1266,17679486.54412945,349503470.39181435,19.768869956682565,0.03507715111590771
676,2115404.9777901014,6689038.087954996,3.162060294924156,0.03536863837327957
9792,369050032.809849,207171447.04948592,0.5613641203934803,0.03543804271373169
15654,202646862.99164355,66189190.759468265,0.32662331793509025,0.03607593696814493
9373,2161019487.719225,2887934701.8120775,1.336376056867516,0.036602226144368755
9909,1122480609.5852864,4738204855.538208,4.22119082955811,0.036841979862672077
4293,14271331.346172718,4254368.183947673,0.2981059076235805,0.03709217177188279
1251,6292625.650807817,18549863.184027478,2.9478733065339964,0.03709379426603848
19050,22290058.122926075,105877993.53223927,4.750009755395846,0.03728347860790775
6768,803641309.3010862,2121274255.6038885,2.6395784177007107,0.037651655054933716
13978,16210780.93851451,6438060.359501565,0.39714683604203477,0.03770478493619224
9611,752700896.818545,95071664.91118854,0.12630736234409942,0.03782120110461817
5943,74720016.84682173,372242551.361068,4.9818317375941765,0.03791246739519431
13441,129910495.73479734,41865834.26717584,0.3222667578194901,0.03807132188164054
19256,14639132.252262698,38211310.3134593,2.610216893665481,0.03815900582656384
8358,40853545.04862844,222879609.65264356,5.455575749603796,0.03836181144473881
13552,63340725.825090036,117566973.6328197,1.8561039852538284,0.03854845427732183
326,34184931.48714352,14919308.536109643,0.436429382393836,0.03860986013244274
1925,11031167.238613334,108699039.36019868,9.853811206824078,0.038721506747714345
10400,61656551.97097525,314588810.38041043,5.102277054488917,0.03898930313787796
4259,761803534.6436127,281209067.3031794,0.3691359445250339,0.03930161877302689
1228,4725576.375348889,38287539.974694684,8.102194723679165,0.0393936751346413
5089,229944007.8552378,114099123.5853152,0.49620394394946254,0.03940765981842574
6804,142574461.73057213,69861818.48914295,0.4900023302992596,0.03957272692602654
10815,5488480708.562466,2575976563.859675,0.46934237371754756,0.040118177905622464
560,26049036.557693984,16454002.666600049,0.6316549416389108,0.0401384057307171
17828,45801512.917207666,25921295.398963798,0.565948453401965,0.040514230187174725
9784,1567518736.7090008,1168869614.6496506,0.7456814309624697,0.04106301588080984
16492,49584057.42865267,27721041.27237011,0.5590716595199653,0.04131266748352469
12503,83286196.28478137,42687627.634646416,0.5125414479091368,0.04133818338739254
15782,225623691.2235809,540380182.8619862,2.3950507144504543,0.041341478384009755
15627,45176265.28828369,159122678.25663555,3.5222627908974906,0.04192702432132688
15521,99954052.69468556,140796572.49327555,1.4086129446231201,0.04213262646318796
1799,17375131.225765005,32779726.597213075,1.8865887210454622,0.04308929390424398
2650,439961168.4389866,182395817.5697845,0.41457253651938825,0.04322976532197906
542,23275443.01930999,11438624.84790114,0.4914460634932414,0.043293765322428956
14462,3195425.1812923676,1059347.6444572052,0.33152009023999723,0.04377242785608128
8466,19628576.51849217,34880904.152945355,1.777047057899685,0.043830149331888654
16112,216471206.77781844,133709687.55225289,0.617678856890606,0.04406209222672802
15339,187185615.776419,442384001.5582655,2.363343998006045,0.04414948238958562
12637,1026981645.874161,677951305.9730234,0.6601396516643246,0.044470928018921524
141,41053668.375477366,12361724.31966645,0.3011113210786906,0.044534989808960805
1508,15135786.903547836,7203469.326191811,0.4759230142506376,0.0450740000554071
3191,318584553.13091993,138902621.0322122,0.4359992336952106,0.04511109337209407
3686,5820958.443902186,39286885.555101044,6.749212510915017,0.04530142252733106
2350,45592246.56707838,318053321.07595205,6.9760396783258,0.045533745366057164
8077,1002152987.2902704,557696565.4161481,0.5564984313663609,0.04576132359673994
6858,25667473.429311752,11377518.996394154,0.44326602802289256,0.04578854119818924
14474,215768543.65502352,347282899.8241929,1.6095158911552836,0.04586150694687675
8621,30144179.539501157,270280675.85541797,8.966264134050826,0.04613632943420795
14628,6069882.357831935,10326028.946410052,1.70119095192783,0.04615756429264209
11571,58541801.03685788,124357434.63478126,2.1242502354255532,0.046475632442543685
5110,6214072.378063845,1787585.4729589424,0.2876673080392911,0.046555907444132724
8927,232200788.4867915,653533124.4037716,2.8145172488979178,0.04666183938090224
972,28296618.790423326,17258910.068431597,0.6099283520853976,0.04682625395907919
11913,134360726.15347052,95055273.0169014,0.7074632278209531,0.04689931712409184
14586,4442566.027405321,2212625.9468188547,0.49805133636047233,0.04700380092652888
493,9885627.496230474,53673972.0993681,5.429495711813411,0.04719891061050648
15062,112015222.62036183,67342367.86489019,0.6011894302359657,0.048222887969670045
15114,43625083.692181334,169824911.6779503,3.8928271834670887,0.048848209294551935
10805,21845567.612498023,38152440.39465535,1.7464613907687174,0.04893991084400249
15490,69451404.7125806,29638772.747808095,0.4267555547719433,0.04920358026045272
8351,40780229.149079144,302817592.2116864,7.425598103058337,0.04944385674872573
1014,22069485.31870831,3196143.413631056,0.14482183736843576,0.04955303318149527
227,788522452.4580141,331595929.2270556,0.42052820207388053,0.049618792754333584
2200,12440510.639223825,41065269.743944205,3.3009312024917254,0.0496253505298423
3988,64914185.05209412,29094923.104873456,0.44820593652257307,0.04966597219133357
15877,194126924.8649186,102010646.52673931,0.5254842758042063,0.049731848773595363
7104,24058406.267666016,85662250.82737723,3.5605954057940017,0.04981188600397413
3333,15262531.102655176,6775947.376179742,0.44395961132560446,0.05002295152505746
526,68262646.61608717,46269594.491008505,0.6778171779836082,0.05012265691493361
7946,94004852.97019294,17679080.755843304,0.18806561786176068,0.05017808863046408
12186,9106181.771472385,5581644.217533031,0.6129511092145188,0.050258321874016264
804,13020919.516895304,26879524.44675716,2.0643338138969076,0.05031680623176836
2499,18487122.75205379,37824903.21894638,2.0460135266178345,0.050719375293468705
4913,205558151.9285463,122569457.49792366,0.596276315718823,0.05086611644842753
4098,5218143.357774181,27688740.1500168,5.306243667829689,0.0513644334493807
9032,118089095.14733133,68983454.43440855,0.5841644763925308,0.051487959855594075
12102,93908403.02067651,224050958.24172306,2.385845686167106,0.05203054255000759
2621,31681489.872313645,8403993.391975865,0.2652650940926894,0.05203891201412763
13127,20474181.50528207,7670906.526735675,0.3746624266643666,0.05204500526189469
5886,80161757.78042075,20439534.875717185,0.25497862623852635,0.05207675903847909
18518,111284392.3540495,860846876.2227814,7.735558041993984,0.05216117776989333
8948,436373826.77098894,303580749.16524523,0.6956896370518708,0.05219675811070722
12853,131915703.20600623,78724905.63106227,0.596781912371126,0.05255662594717738
15264,168246342.27938366,107187071.72066736,0.637084112905566,0.052677559609267524
17654,7478170.056942239,2639733.6208221223,0.3529919219169893,0.052702578911175
16179,4068282.7574500046,2007222.5502636344,0.4933832454462333,0.052935627278277504
4332,31944452.287727732,22342786.722852357,0.6994261952469256,0.053099862082115194
260,48254390.67822481,18101670.443427604,0.37513001799432383,0.053247305226088504
11106,47516075.50259332,137781717.47073835,2.8996863906241273,0.05335776582918987
4805,35013789.58712807,11846314.003865976,0.33833281525804826,0.05353355257052082
16915,14247320.498274975,8829105.511806209,0.6197028776656784,0.05413703493160935
9429,219115033.1941465,497750043.5888348,2.2716380356604935,0.0542161606548215
366,8513625.25541994,25593794.33671885,3.006215750502448,0.05431874822348595
95,93796460.0134426,49345570.36000777,0.5260920332487572,0.05454342322845735
14089,49701908.261876136,36537104.11304041,0.7351247746973572,0.05474785743565021
9176,993075590.7984614,1801884502.8357897,1.8144484866323445,0.054809354569589845
15181,391491461.9411805,865690542.3145927,2.2112628919724897,0.055109862902519596
4799,8908742.434192069,5077114.985312673,0.569902544923347,0.05573634704034629
56,15174355.136105524,62993755.117886126,4.151329961165874,0.05590686920263427
8794,11312151.587850193,39304628.80080062,3.4745493371053944,0.05595289847773651
4996,577306883.693168,220523550.79399174,0.38198669896892734,0.05648486412648386
4374,37381861.30590744,122597780.83785044,3.279606112563377,0.05651140091954606
136,27850551.85142584,87268726.79912063,3.1334649045617677,0.056741860157545385
3241,692459219.9879214,1025365807.7730885,1.4807598457436584,0.05679652374468344
2875,14567394.091858726,32051452.825474977,2.200218695489783,0.057066727359495285
1108,14030182.266451139,35747754.125674985,2.5479180132359884,0.05879110284507524
8740,1154498.6556867857,2767435.2234954955,2.397088303103488,0.05903707410807981
5345,39398342.309759624,190532236.59553576,4.836047037144955,0.05910731227318281
2743,276361353.0860596,206051055.64595824,0.7455856375901933,0.05917230791192169
76,45327857.35915062,883405189.2405568,19.489233348070847,0.059258127703641535
10596,10500335.31909232,37482714.45340331,3.5696683309960644,0.06006116267074194
11699,104105000.09319615,70537743.36672394,0.6775634532786863,0.06008645955056906
14487,98338022.6212554,70456205.19377317,0.716469614862322,0.06010759483240926
13732,7103634.882987761,11351027.931044172,1.5979182655105684,0.06035142430633649
875,59290775.87650948,32897880.736736935,0.5548566408585455,0.06051376956643843
2817,17801597.170395806,11164262.478763778,0.6271494839423752,0.0606473916267883
3405,171728773.81621638,252158352.52817878,1.4683523728995929,0.060849102927371654
19974,40441573.13738041,23706520.234793946,0.5861918416047435,0.06086699452951533
16561,128094475.49703513,241971668.62419942,1.8890094025155681,0.06103630254088419
4646,426572929.9488513,345418769.39003515,0.8097531398240694,0.06128595790156192
112,54269614.67100755,32069063.59895029,0.5909211589829574,0.06183586585629469
16496,35218716.16696151,56495110.19550307,1.6041217950045785,0.061909351392104975
14672,3461031.599931559,24229522.96466369,7.000665051755905,0.064397404807389
14420,37738821.336981446,25435240.661628127,0.6739807911463134,0.06487409459855929
402,98810512.8687488,59502573.13384821,0.6021886882915607,0.06531943733790727
7128,55113565.95870332,38629025.25240277,0.7008986731387977,0.06538110228128687
51,25392141.5019481,121587214.43936929,4.7883796815656945,0.0655706362010655
18473,322547513.8658323,120558178.71994914,0.3737687427040496,0.06593251135671928
5882,8539727.588131452,67272851.53709526,7.877634367469912,0.06648036184969097
226,2085288346.367696,2488431184.214304,1.1933271427660501,0.06654330020350933
8828,1785935763.6538837,1029184684.9495158,0.576271949918224,0.06671712176043897
14729,193415451.8139525,135703290.19501808,0.7016155582313656,0.06694449354759553
49,161132670.4661902,108625938.9320173,0.6741397546365983,0.0670698340025192
13881,50183055.05418314,102878987.29691857,2.0500742170009203,0.0671759032108375
13905,98336817.13031663,65043162.71505122,0.661432458494722,0.06723947074850241
6784,839839972.6241508,614069156.7067559,0.7311740054334935,0.06752806804056123
5610,169893831.8909666,105336046.02000688,0.6200110083314195,0.06826713092985949
130,8353963.455745242,24510471.129246518,2.93399309909478,0.06827392958619612
18855,30708927.650934424,633571894.9960841,20.631521302138516,0.06837344501076723
9756,1038689095.6017927,2382190614.3952575,2.293458768829253,0.06842870451956193
15307,38646047.53129473,23333318.38068524,0.6037698515427852,0.06875496785499258
12324,69567378.921457,600551954.4950843,8.632666111700425,0.06928364283495339
8118,462942313.4684713,260709117.72318596,0.5631568127136461,0.06937348345000885
10673,2029014.9201936168,6438141.766935328,3.1730381589904595,0.06969826757391495
15554,1599732456.6207647,776584880.5371045,0.4854467241213216,0.07002738306036023
12228,93397254.44112223,154107696.7520507,1.6500238435724084,0.07040286386683282
3012,99294251.4201582,252919645.962229,2.5471730975846056,0.07066563208910524
3172,11568204.103640761,50331180.03128268,4.350820540540289,0.07069499137764855
9600,46171396.28506467,30348149.72254368,0.6572933063399812,0.07104497566055924
16335,191766058.71308964,101018367.12506118,0.5267791798140858,0.07121808978726155
14645,111633315.84755677,64794433.903684914,0.5804220130141643,0.0712241931846798
15120,24915778.418702878,134688258.46838716,5.405741542768105,0.07126917563741403
9014,1120604740.4516604,637941697.8924079,0.5692834189111899,0.07129816107046419
13171,86134289.92934012,136385714.1742892,1.5834078888462726,0.07152400028985886
6299,28453335.691906422,114741289.3139947,4.032612926527029,0.07160892947956647
1134,859725.4579614208,3767131.7662293417,4.381784593377003,0.0718545979516875
4445,498845371.38395524,1743190224.9146628,3.494450033842151,0.0720336536593818
490,27555966.80019688,16569866.794707008,0.6013168369250838,0.07266196280887682
15807,9151693.01513266,5184599.281295283,0.5665180500178882,0.07276069258579802
8806,30144045.012934353,18372749.960657455,0.60949849141925,0.07321032209443543
17736,4107127.270022591,11138225.438406155,2.7119260510144576,0.07372006864048693
13945,2162826263.5838194,4841435429.377053,2.2384763449999716,0.07436035605832823
8131,9768325.495896153,33669763.75730678,3.446830653979747,0.07439858430400648
17552,24243005.950666968,54693703.66296677,2.256061140861208,0.07442908210113838
18057,102489274.41098441,239033203.57889676,2.3322753034660777,0.07454161874126274
10531,42972160.82380403,20622640.59713471,0.4799069956405588,0.07521077313993897
16203,14825356.470841326,70009477.48596299,4.722279536661286,0.07547782471120035
12394,298070576.67265135,517820688.97626626,1.737241879948956,0.07602787839823769
713,67293210.43777567,20786716.30182031,0.3088976758070008,0.07607644435710535
7473,429529619.5203755,590578535.907097,1.3749425163427684,0.07663641707872788
220,3441238945.2501774,4580013127.546613,1.3309198228935093,0.07665855684985802
1435,116382015.42024153,63229082.41519266,0.5432891171963298,0.0766823576307834
11794,50105118.26367946,172741767.5108154,3.447587262478006,0.0772272669379737
2212,54483367.403983474,131419319.0641458,2.412099789825716,0.07761248348307312
6163,24144227.50503862,411165354.28232145,17.029551026079258,0.07789670090720723
768,524946552.23672974,398515390.2564006,0.7591542197169936,0.07807461950802205
18039,26400221.292625323,62344054.37795498,2.361497416514848,0.07922524266610369
2419,1985368.0560312222,7692608.084097978,3.874650879331466,0.07939658339550738
1616,32871724.67263399,15426772.313986361,0.4693021880543216,0.08036094095152677
5237,359874926.69395304,262233988.95574254,0.7286809096838055,0.08042600222450422
